word,word count,root word,root language,second language,ranked languages
the,1440,the,Old English,Sanskrit,Old English;Sanskrit;Greek;Irish
a,476,,,,
to,454,to,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Latin;Slavonic;Greek;Old Irish
of,420,of,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Latin;Old French
and,414,and,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Latin;Greek
he,373,he,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Greek;Slavonic
his,315,his,Old English,Germanic,Old English;Germanic;German
in,254,in,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Old Norse;Greek;Latin;Old Irish;Welsh;Slavonic;American English
it,252,it,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch
”,248,,,,
was,228,was,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Sanskrit
on,172,on,Old English,Germanic,Old English;Germanic;Dutch;German;Greek;Latin;Slavonic
you,170,you,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;French
reinhart,169,,,,
him,153,him,Old English,German,Old English;German;Dutch
cole,142,cole,Old English,Old Norse,Old English;Old Norse;Latin;Italian;Spanish;Old French;Germanic;German;Dutch
at,134,at,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German;Latin;Sanskrit;Dutch
had,126,,,,
for,124,for,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
sherikov,117,,,,
up,114,up,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Old Norse;Dutch;German;Sanskrit;Greek;Latin
from,112,from,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse
out,108,out,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Sanskrit;Old Irish;Latin;Greek;Russian
with,100,with,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Middle Dutch;Dutch;Sanskrit;Slavonic;Latin;French
as,97,as,Old English,German,Old English;German;Latin
down,89,down,Old English,American English,Old English;American English
that,87,that,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
all,86,all,Old English,Germanic,Old English;Germanic;Old Frisian;German;Old Norse
be,84,be,Old English,Germanic,Old English;Germanic;German;Latin;Slavonic;Greek;Old Irish;Russian;Sanskrit
i,84,,,,
into,84,into,Old English,American English,Old English;American English
over,81,over,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;German
is,79,is,Old English,Germanic,Old English;Germanic;German;Old Norse;Sanskrit;Greek;Latin;Slavonic
were,78,were,Old English,,Old English
have,75,have,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;German;Latin;American English
man,71,man,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;German;Old Norse;Sanskrit;Slavonic;Russian;Latin;Old Irish;Welsh;Greek
they,70,they,Old Norse,Germanic,Old Norse;Germanic;Old English
this,70,this,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German
them,65,them,Old Norse,Old English,Old Norse;Old English
but,62,but,Old English,Germanic,Old English;Germanic
an,61,an,Old English,French,Old English;French;German
back,59,back,English,,English
can,58,can,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German
no,58,no,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German
toward,57,toward,Old English,,Old English
we,55,we,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Slavonic
around,53,around,American English,English,American English;English
been,52,,,,
do,52,do,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German
said,51,,,,
by,49,by,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
not,48,not,English,,English
